Variable Name,Field Name,Log Types,PAN-OS Description,Mapping Type,ECS Field,ECS Type,ECS Description
natsport,NAT Source Port,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection",Post-NAT source port.,=,source.nat.port,long,Post-NAT source port.
natsrc,NAT Source IP,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection","If Source NAT performed, the post-NAT Source IP address.","=
=","source.nat.ip
related.ip","ip
ip","If source NAT performed, the post-NAT source IP.
All of the IPs seen on your event."
src_category,Source Device Category,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The category for the device that Device-ID identifies as the source of the traffic.,,,,
src_edl,Source External Dynamic List,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection",The name of the external dynamic list that contains the source IP address of the traffic.,,,,
src_host,Source Hostname,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The hostname of the device that Device-ID identifies as the source of the traffic.,"=
=","source.domain
related.hosts","keyword
keyword","The domain name of the source host.
All the host identifiers seen on your event."
src_mac,Source MAC Address,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The MAC address for the device that Device-ID identifies as the source of the traffic.,=,source.mac,keyword,Source MAC address.
src_model,Source Device Model,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The model of the device that Device-ID identifies as the source of the traffic.,,,,
src_osfamily,Source Device OS Family,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The operating system type for the device that Device-ID identifies as the source of the traffic.,,,,
src_osversion,Source Device OS Version,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The version of the operating system for the device that Device-ID identifies as the source of the traffic.,,,,
src_profile,Source Device Profile,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The device profile for the device that Device-ID identifies as the source of the traffic.,,,,
src_vendor,Source Device Vendor,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Authentication",The vendor of the device that Device-ID identifies as the source of the traffic.,,,,
srcloc,Source Country,"Traffic,Threat,URL Filtering,Data Filtering,Tunnel Inspection,GTP",Source country or Internal region for private addresses; maximum length is 32 bytes.,=,source.geo.country_name,keyword,Country name of the source IP address.
tunnel,Tunnel Type,"Traffic,Threat,URL Filtering,Data Filtering,Decryption,Tunnel Inspection","Type of tunnel, such as GRE or IPSec.",,,,
assoc_id,SCTP Association ID,"Traffic,Threat,URL Filtering,Data Filtering,SCTP",Number that identifies all connections for an association between two SCTP endpoints.,,,,
category,Category,"Traffic,Threat,URL Filtering,Data Filtering,Correlated Events",URL category associated with the session (if applicable).,,,,
container_id,Container ID,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The container ID of the PAN-NGFW pod on the Kubernetes node where the application POD is deployed.,=,container.id,keyword,Unique container id.
dst_category,Destination Device Category,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The category for the device that Device-ID identifies as the destination for the traffic.,,,,
dst_dag,Destination Dynamic Address Group,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",Original destination source dynamic address group.,,,,
dst_host,Destination Hostname,"Traffic,Threat,URL Filtering,Data Filtering,Decryption",The hostname of the device that Device-ID identifies as the destination for the traffic.,"=
=","destination.domain
related.hosts","keyword
keyword","The domain name of the destination host.
All the host identifiers seen on your event."
